goaltime,average,changepoint,1deg,2deg,3deg
22.34032,22.34032,3.746194,4.255955,39.0366,302.9067
19.68026,21.01029,3.620531,7.377688,29.80018,296.1162
23.24034,21.75364,3.419579,4.24525,47.09279,288.0252
16.56019,20.45528,3.232655,4.598,40.71178,282.6644
18.36023,20.03627,3.662375,2.985374,23.79964,289.5572
16.9002,19.51359,3.223826,3.538387,42.92382,283.8223
27.40044,20.64028,3.326844,3.59217,46.53009,294.4467
14.92015,19.92527,3.862706,7.594819,34.42466,301.0241
23.80035,20.35583,3.406011,358.424,44.59027,296.9988
21.6403,20.48428,3.813385,3.623067,31.36547,297.1716
20.84029,20.51664,3.679165,8.240851,20.29948,284.4074
20.56028,20.52028,3.377983,8.005355,21.70102,293.6595
18.76024,20.38489,3.959168,2.330289,46.63087,289.5071
23.94036,20.63885,3.249264,3.477322,46.6254,294.2378
16.54019,20.36561,3.906737,4.907088,30.28427,295.3712
22.40032,20.49278,3.100611,3.025703,33.14826,303.8243
17.0402,20.28969,3.407499,2.842767,44.44331,293.681
14.86015,19.98804,3.869306,3.257884,36.95134,299.6192
19.94027,19.98553,3.75227,5.949431,30.59607,298.8178
18.06022,19.88927,3.711576,1.968768,47.19607,290.1898
