time,distance,speed,first,second,third
0.02,0.001432538,0.1176178,2.064975,26.4095,-84.61237
0.04,0.007722378,0.314492,3.013683,24.32341,-84.51157
0.06,0.01797867,0.5128145,4.004098,23.21991,-84.37195
0.08,0.03089237,0.6456852,4.407522,23.37111,-83.02588
0.09999999,0.04442239,0.6765008,4.623852,24.65954,-81.24054
0.12,0.05771041,0.6644011,4.769598,26.55072,-79.30066
0.14,0.06985152,0.6070554,4.526685,27.82274,-78.60901
0.16,0.07950056,0.4824519,4.706739,28.90577,-77.58286
0.18,0.08735955,0.3929496,5.273931,28.64852,-74.93698
0.2,0.09599233,0.431639,5.696336,28.18517,-71.56454
0.22,0.10616,0.5083859,5.751921,29.1413,-69.3472
0.24,0.1177083,0.577414,5.931366,29.91832,-67.25177
0.26,0.1306791,0.6485403,6.139165,30.21719,-65.26392
0.28,0.1454065,0.7363677,6.456992,29.94914,-64.83585
0.3,0.1621438,0.8368671,6.829916,28.856,-64.96786
0.32,0.1807321,0.9294152,7.211834,27.4845,-65.28647
0.34,0.2009166,1.009226,7.596566,26.16323,-65.6593
0.36,0.2222949,1.068914,7.981843,24.97545,-66.04514
0.38,0.2429029,1.030397,7.628026,24.31699,-65.10358
0.4,0.2606227,0.8859932,6.739013,25.77667,-64.95331
0.42,0.2769043,0.8140802,5.86325,27.10572,-64.33786
0.4400001,0.2922316,0.7663608,5.167879,28.05585,-62.63809
0.4600001,0.3068645,0.731647,4.519255,28.89658,-60.48499
0.4800001,0.3212807,0.7208109,4.040653,30.11302,-59.0094
0.5000001,0.3351651,0.6942213,3.503616,31.65987,-58.23517
0.52,0.3478259,0.6330371,2.995019,32.88311,-57.67542
0.54,0.3598558,0.6014943,2.465787,33.8792,-57.00015
0.56,0.3715787,0.5861461,1.961339,34.7588,-56.31567
0.58,0.3834095,0.5915403,1.604954,35.60429,-55.66418
0.6,0.3951943,0.5892396,1.301619,36.39625,-55.11566
0.6199999,0.4070377,0.5921721,0.8269222,37.83136,-54.83395
0.6399999,0.4189273,0.5944788,0.1998547,39.41105,-54.39499
0.6599999,0.4310602,0.6066442,-0.3640747,40.77405,-53.94934
0.6799999,0.442463,0.5701423,-0.4602661,43.67541,-54.68686
0.6999999,0.452038,0.4787505,-0.2276917,46.28335,-56.09265
0.7199998,0.4604455,0.4203737,0.1338107,48.05736,-57.73941
0.7399998,0.4679205,0.3737509,0.5294204,49.30524,-59.47766
0.7599998,0.4748107,0.3445089,0.9360406,50.44301,-61.24384
0.7799998,0.4810709,0.3130078,1.402291,49.92185,-63.14755
0.7999998,0.4875044,0.3216743,1.895795,48.59785,-65.11707
0.8199998,0.4946221,0.3558874,2.391804,46.9953,-67.10626
0.8399997,0.5031986,0.4288256,2.891689,45.41405,-69.09836
0.8599997,0.5139441,0.5372763,3.394488,43.87356,-71.08804
0.8799997,0.5265228,0.6289303,3.708911,42.18163,-73.07739
0.8999997,0.5408398,0.7158518,3.939885,40.24306,-75.07458
0.9199997,0.5562848,0.7722497,4.143268,38.14804,-77.07773
0.9399996,0.5723585,0.8036852,4.343204,36.03115,-79.08252
0.9599996,0.5884825,0.8062005,4.543528,33.98207,-81.08603
0.9799996,0.603731,0.7624269,4.585143,31.77351,-82.39365
0.9999996,0.6177273,0.6998122,4.566955,29.7653,-83.45529
1.02,0.6303312,0.6301939,4.528383,27.8466,-84.43304
1.04,0.6420474,0.5858123,4.485859,25.9195,-85.38477
1.06,0.653156,0.5554318,4.439614,23.98011,-86.32935
1.08,0.6636208,0.5232394,4.423931,21.97356,-86.05988
1.1,0.6737865,0.5082846,4.425958,20.3606,-85.36047
1.12,0.683852,0.5032718,4.437371,18.95319,-84.51498
1.14,0.6940652,0.5106628,4.447817,17.5664,-83.62378
1.159999,0.7045727,0.5253732,4.458221,16.14107,-82.72021
1.179999,0.7149984,0.5212843,4.417084,15.64134,-81.11667
1.199999,0.7248493,0.4925489,4.36447,16.06234,-79.24643
1.219999,0.7343528,0.4751742,4.309026,17.06798,-77.27991
1.239999,0.7441809,0.4914045,4.255549,18.22864,-75.28189
1.259999,0.7544731,0.5146086,4.210926,18.41891,-73.25378
1.279999,0.7649392,0.5233049,4.119062,18.69845,-72.35342
1.299999,0.7762282,0.56445,4.286482,19.28455,-70.31985
1.319999,0.7892267,0.6499231,4.994915,20.1653,-67.50146
1.339999,0.8039932,0.7383287,5.413194,21.55777,-65.36682
1.359999,0.8201427,0.807476,5.810915,22.53931,-63.29169
1.379999,0.8374466,0.8651912,6.072324,24.14803,-62.49957
1.399999,0.8551854,0.886941,6.281282,25.81617,-62.1434
1.419999,0.8725739,0.8694232,6.474052,27.51249,-61.93329
1.439999,0.8887626,0.809437,6.398966,29.95383,-62.82385
1.459999,0.9036932,0.7465303,6.366878,32.12883,-63.39771
1.479999,0.9178679,0.708735,6.062003,33.66652,-62.84814
1.499999,0.9319625,0.7047296,5.651652,35.04658,-61.5509
1.519999,0.9457079,0.6872714,5.335158,36.28766,-60.07227
1.539999,0.9592506,0.6771326,5.034977,37.55544,-58.685
1.559999,0.9727567,0.6753087,4.720685,38.82877,-57.40118
1.579999,0.9861683,0.6705761,4.419268,39.96731,-55.96759
1.599999,0.9994019,0.6616831,4.101405,40.81685,-54.35684
1.619999,1.012617,0.6607533,3.732882,41.40704,-52.58942
