time,distance,speed,first,second,third
0.02,0.004140258,0.2474129,0.1653292,45.78556,-65.01468
0.04,0.013502,0.4680872,1.342627,46.69267,-64.5704
0.06,0.02691483,0.6706417,1.778666,47.76557,-63.20544
0.08,0.04242003,0.7752597,1.451295,50.14944,-62.72186
0.09999999,0.05816674,0.7873356,1.200016,52.53308,-62.71982
0.12,0.07315159,0.7492423,1.219698,54.56328,-63.00613
0.14,0.08419204,0.5520225,0.6156079,54.56332,-63.26364
0.16,0.09150505,0.3656507,-0.1183167,55.0863,-63.84781
0.18,0.09750307,0.2999008,0.33602,54.85279,-65.01181
0.2,0.1050265,0.3761709,1.422189,53.44321,-66.38785
0.22,0.1143435,0.465852,2.466204,50.94864,-67.72229
0.24,0.1252486,0.5452514,3.380264,48.34586,-69.10065
0.26,0.1381894,0.6470442,4.132896,46.04371,-70.48428
0.28,0.15291,0.736028,4.235709,44.01597,-71.37979
0.3,0.169727,0.8408487,4.2502,42.71303,-72.16202
0.32,0.1885631,0.941807,4.260942,41.7317,-72.90964
0.34,0.2091464,1.029164,4.276433,40.73096,-73.6442
0.36,0.2311445,1.099908,4.27521,39.59924,-74.36987
0.38,0.2532262,1.104081,4.201564,38.83236,-74.51019
0.4,0.271948,0.9360909,4.03556,38.81906,-74.74561
0.42,0.2891927,0.8622348,3.866469,37.95785,-74.03192
0.4400001,0.3061343,0.8470833,3.502278,36.02299,-72.24988
0.4600001,0.3229147,0.8390188,3.33257,33.98775,-70.88712
0.4800001,0.340539,0.8812129,3.651257,32.30679,-71.34558
0.5000001,0.3589154,0.9188235,3.905769,30.18505,-72.72623
0.52,0.3764408,0.8762658,3.871921,27.80746,-74.25977
0.54,0.3936783,0.8618772,3.752777,25.93058,-75.90344
0.56,0.4107304,0.8526027,3.858983,24.45636,-77.62488
0.58,0.427163,0.8216321,4.178205,22.82673,-78.3949
0.6,0.4426744,0.7755697,4.376,21.47258,-78.83588
0.6199999,0.4575762,0.7450879,4.473978,20.40695,-79.15271
0.6399999,0.472093,0.7258415,4.606966,19.43986,-79.44376
0.6599999,0.4851441,0.6525576,5.41929,18.53572,-79.68085
0.6799999,0.4958907,0.5373299,6.083292,18.42706,-78.64514
0.6999999,0.5052061,0.4657686,5.727897,19.42594,-77.10962
0.7199998,0.5136887,0.4241288,5.32356,20.93094,-75.42276
0.7399998,0.5219098,0.4110575,5.082945,22.08258,-73.56927
0.7599998,0.5294309,0.3760517,5.249699,22.88541,-72.95178
0.7799998,0.5366197,0.3594398,5.102293,22.69033,-71.73721
0.7999998,0.5447878,0.4084051,4.835626,22.3753,-70.20544
0.8199998,0.5545826,0.4897416,4.437534,22.56987,-68.70792
0.8399997,0.5667533,0.6085336,3.958244,23.49248,-67.51135
0.8599997,0.5813766,0.7311642,3.532116,25.17643,-66.52716
0.8799997,0.5976961,0.8159757,3.597878,27.99189,-66.57608
0.8999997,0.6137106,0.8007288,4.028283,30.77068,-66.62561
0.9199997,0.6287496,0.7519484,4.40293,33.25225,-66.56128
0.9399996,0.6421555,0.670296,4.668576,35.54969,-66.53229
0.9599996,0.6541929,0.6018698,4.522421,36.54642,-66.63104
0.9799996,0.6649877,0.5397379,4.10685,37.52852,-66.69528
0.9999996,0.6752111,0.5111694,3.770626,38.61358,-66.62506
1.02,0.6850797,0.4934311,3.607462,39.80652,-66.40805
1.04,0.6948918,0.4906058,3.667923,41.32768,-66.51727
1.06,0.7047707,0.4939437,3.872793,42.70483,-66.47525
1.08,0.7147646,0.4996955,3.951987,44.09713,-66.43704
1.1,0.7249378,0.5086601,3.983161,45.24566,-66.2439
1.12,0.7352228,0.514251,3.978925,46.23709,-65.83304
1.14,0.7457294,0.5253315,3.912074,47.20151,-65.37375
1.159999,0.7565027,0.5386651,3.754961,48.27128,-64.91519
1.179999,0.7673674,0.5432308,3.669726,49.56259,-64.73944
1.199999,0.7779509,0.529176,3.671682,50.42342,-64.23987
1.219999,0.7876302,0.4839659,3.308355,49.54601,-63.07178
1.239999,0.7971339,0.4751861,3.045157,48.82479,-62.23621
1.259999,0.8068618,0.4863918,2.864567,48.29455,-61.5748
1.279999,0.8162621,0.4700184,3.12877,47.77695,-62.00827
1.299999,0.8264705,0.5104184,3.721081,46.74607,-62.99045
1.319999,0.8384532,0.599134,4.288194,45.16515,-64.16626
1.339999,0.8519422,0.6744504,4.656754,43.3151,-65.33926
1.359999,0.8661876,0.7122695,4.98151,42.15614,-66.76703
1.379999,0.8802816,0.7046998,5.380702,41.85551,-67.73297
1.399999,0.8930336,0.6376028,5.824029,40.76529,-67.52216
1.419999,0.904929,0.5947709,6.409207,39.61965,-67.27142
1.439999,0.9163243,0.5697608,6.985472,38.87296,-67.30084
1.459999,0.927377,0.5526364,7.583367,38.53153,-67.56152
1.479999,0.9382097,0.5416334,7.715174,37.95866,-68.23535
1.499999,0.9490756,0.5432963,7.595903,37.17894,-69.26315
1.519999,0.9596428,0.5283594,7.314264,35.75177,-70.04782
1.539999,0.9704934,0.5425334,6.438787,34.02524,-70.79773
1.559999,0.9816836,0.5595088,5.734815,32.44174,-71.45798
1.579999,0.9933001,0.5808234,5.524799,31.11032,-73.18442
1.599999,1.005462,0.6080985,5.92835,29.06424,-75.0853
1.619999,1.018236,0.6386995,6.453621,26.82828,-77.05222
1.639999,1.031554,0.6659031,7.172139,24.60611,-79.06528
1.659999,1.045285,0.6865621,7.792045,22.47467,-81.07629
1.679999,1.05927,0.6992221,8.415675,20.21235,-81.35559
1.699999,1.072663,0.6696701,8.746999,18.31096,-80.99219
1.719999,1.085672,0.6504178,9.07756,16.75101,-80.43185
1.739999,1.097861,0.6094933,9.724547,15.40113,-79.77814
1.759999,1.107945,0.5041718,11.28508,14.17954,-79.10614
1.779999,1.115695,0.3874898,11.44054,14.3363,-77.70145
1.799999,1.122593,0.3449202,11.19747,15.90603,-76.0806
1.819999,1.129101,0.3254056,11.01512,17.99008,-74.38446
1.839999,1.135089,0.2993941,10.8879,19.87455,-72.53964
1.859999,1.141192,0.3051519,11.35921,20.54595,-71.79712
1.879999,1.14787,0.3339171,11.34485,20.76841,-71.07486
1.899999,1.155538,0.3833652,11.01773,20.52789,-69.45856
1.919999,1.165266,0.4863977,10.55178,20.91636,-67.82657
1.939999,1.177484,0.6108999,9.967986,22.1357,-66.58633
1.959999,1.191773,0.714457,9.62647,23.85673,-65.16727
1.979999,1.206516,0.7371545,9.645591,27.56063,-65.15607
1.999999,1.219279,0.6381392,9.862137,31.29984,-65.68713
2.019999,1.231439,0.6079912,10.09755,33.45236,-66.39362
2.039999,1.243673,0.6117105,10.06201,34.15427,-67.16626
2.059999,1.256489,0.6408095,9.756965,33.99712,-67.95575
2.079999,1.268605,0.6057978,9.71286,35.20148,-68.20319
2.099999,1.280582,0.5988598,9.781506,36.68487,-67.86929
2.119999,1.292801,0.6109595,9.844467,37.68076,-66.83875
2.139999,1.305617,0.6408095,9.887706,38.49976,-65.58258
2.159999,1.319123,0.6752968,9.897407,39.37682,-64.20651
2.179999,1.333035,0.6955624,9.908156,40.62107,-63.35242
2.199999,1.34679,0.6877899,9.5072,42.07319,-62.8909
2.219999,1.360506,0.6857991,9.174819,43.46846,-62.71585
2.239999,1.373917,0.6705523,8.853479,44.64559,-62.46701
2.259999,1.387119,0.6600618,8.532218,45.60628,-62.1394
2.279999,1.399559,0.6219983,7.892097,46.12173,-62.4194
2.299999,1.41069,0.5565643,7.030794,45.11678,-62.44629
2.319999,1.421639,0.5474448,6.319427,43.81858,-62.56445
2.339998,1.432748,0.5554557,5.725674,43.0658,-62.96576
2.359998,1.44269,0.4971266,5.339052,42.22816,-63.20581
2.379998,1.452421,0.486505,5.685233,41.53345,-63.91693
2.399998,1.463231,0.5405426,6.117059,41.08656,-64.81226
2.419998,1.475341,0.605464,6.464907,40.78142,-65.73111
2.439998,1.488447,0.6553292,6.837503,40.54883,-66.63159
