goaltime,average,changepoint,1deg,2deg,3deg
12.40009,12.40009,3.612468,0,0,0
12.16009,12.28009,3.603826,0,0,0
12.88011,12.4801,3.672013,0,0,0
13.20011,12.6601,3.047166,0,0,0
13.94013,12.91611,3.673891,0,0,0
12.7801,12.89344,3.790061,0,0,0
11.88008,12.74867,3.996067,0,0,0
13.72012,12.8701,3.172629,0,0,0
13.48012,12.93788,3.542876,0,0,0
12.7201,12.91611,3.032166,0,0,0
12.26009,12.85647,3.191665,0,0,0
12.30009,12.8101,3.437699,0,0,0
13.14011,12.83549,3.810895,0,0,0
12.34009,12.8001,3.534835,0,0,0
12.6601,12.79077,3.433609,0,0,0
12.4601,12.7701,3.785454,0,0,0
12.26009,12.7401,3.033645,0,0,0
12.8001,12.74343,3.980697,0,0,0
12.7401,12.74326,3.868331,0,0,0
13.04011,12.7581,3.256855,0,0,0
13.54012,12.79534,3.840348,0,0,0
12.6601,12.78919,3.570552,0,0,0
12.08009,12.75836,3.731588,0,0,0
