time,distance,speed,first,second,third
0.02,0.003915429,0.2365947,0.7065005,47.53714,-63.60339
0.04,0.01225364,0.4169106,2.098692,48.01085,-62.90366
0.06,0.02466667,0.6206512,2.642314,48.39643,-60.57544
0.08,0.03961074,0.7472038,2.080524,51.16173,-60.48862
0.09999999,0.0547477,0.7568479,1.63572,54.01676,-61.02094
0.12,0.06850314,0.687772,1.395237,56.15229,-61.80457
0.14,0.07954717,0.5522013,0.9464871,56.88251,-62.81775
0.16,0.08855522,0.4504025,0.5464053,55.92324,-63.52386
0.18,0.09645665,0.3950715,0.3147857,54.20705,-65.20993
0.2,0.1052837,0.4413545,0.7038285,51.85868,-67.07858
0.22,0.1153491,0.5032659,0.9537097,49.40642,-69.02045
0.24,0.1273232,0.5987048,0.9244863,47.13926,-70.94559
0.26,0.1414741,0.7075489,1.008186,45.15065,-72.93762
0.28,0.1579117,0.8218765,0.9239646,43.45016,-73.59192
0.3,0.1762489,0.9168625,0.924121,42.61725,-73.81854
0.32,0.1961062,0.9928644,0.9626343,42.18917,-73.90045
0.34,0.2171165,1.050514,0.9875934,41.77653,-73.92944
0.36,0.2384504,1.066697,1.038173,41.66617,-74.14282
0.38,0.2586495,1.009953,0.9867838,42.28686,-74.7244
0.4,0.2772214,0.9285986,0.9770979,41.53635,-74.37747
0.42,0.2945147,0.8646607,0.5690751,39.5342,-72.79706
0.4400001,0.3106142,0.8049786,0.9077688,38.3737,-72.1969
0.4600001,0.3259676,0.7676661,1.227904,36.80228,-71.72607
0.4800001,0.3406018,0.7317126,1.464698,35.38205,-72.28674
0.5000001,0.3542196,0.6808877,1.538046,33.78004,-73.17975
0.52,0.3674563,0.6618381,1.693064,32.33167,-74.19678
0.54,0.3806449,0.65943,1.909408,31.00072,-75.25165
0.56,0.3940681,0.6711602,2.195911,29.7448,-76.33582
0.58,0.4079238,0.6927848,2.736667,28.49554,-77.28906
0.6,0.4216297,0.6852925,3.055736,27.08764,-78.16483
0.6199999,0.4352793,0.6824791,3.172681,25.68101,-79.0087
0.6399999,0.4490063,0.6863534,3.158896,24.32062,-79.83609
0.6599999,0.4629725,0.6983101,3.189555,23.0079,-80.67151
0.6799999,0.4762367,0.663209,3.713073,22.18696,-80.23563
0.6999999,0.4883938,0.6078541,3.947859,22.51716,-79.31134
0.7199998,0.4992418,0.5424023,3.723557,23.25447,-78.25427
0.7399998,0.5093062,0.5032182,3.27858,23.82371,-77.17838
0.7599998,0.5189189,0.480634,2.869471,24.15641,-76.12128
0.7799998,0.5269386,0.4009843,2.893766,24.6265,-74.64832
0.7999998,0.5343001,0.3680766,2.901603,24.58302,-73.93976
0.8199998,0.5416874,0.369364,2.966128,23.7765,-72.17917
0.8399997,0.5510452,0.4678905,3.216709,23.38771,-70.32953
0.8599997,0.5631875,0.607115,3.366754,23.8386,-68.3396
0.8799997,0.5784425,0.7627487,3.164188,25.78518,-67.16547
0.8999997,0.5962241,0.8890808,2.813107,28.62239,-66.54736
0.9199997,0.6157579,0.9766936,2.526349,31.95889,-66.16983
0.9399996,0.6364141,1.032805,2.256016,35.36716,-65.82642
0.9599996,0.6561409,0.9863436,2.000197,37.95105,-64.76489
0.9799996,0.6741029,0.8980989,2.04719,40.84419,-65.30469
0.9999996,0.6906772,0.8287132,2.133401,42.47507,-66.29028
1.02,0.7064666,0.7894695,2.138787,43.02333,-67.48141
1.04,0.7219285,0.7730961,2.098218,43.09305,-68.74521
1.06,0.7373029,0.7687211,2.146412,43.12309,-70.04099
1.08,0.7516525,0.717479,2.050231,43.47023,-69.3168
