goaltime,average,changepoint,1deg,2deg,3deg
13.04011,13.04011,3.728493,3.15634,28.38815,274.0566
12.4601,12.7501,3.352309,2.461144,32.54325,292.6596
13.18011,12.89344,3.122702,2.188177,45.00932,297.6005
15.92017,13.65012,3.969729,11.0502,21.2173,297.3871
12.5601,13.43212,3.658345,4.605773,40.61489,297.3627
12.90011,13.34345,3.931047,3.554478,37.89605,286.1019
14.82015,13.55441,3.106856,359.1214,48.19738,297.9826
12.6601,13.44262,3.830462,2.779674,48.29829,304.6599
12.6601,13.35567,3.619364,5.840862,33.27803,296.8022
12.8001,13.30012,3.74012,359.8568,43.49146,285.8117
13.52012,13.32012,3.486682,6.713623,21.96718,293.1949
13.56012,13.34012,3.147862,0.2966633,40.25241,303.5261
13.36012,13.34166,3.450413,2.645424,48.47058,304.201
12.06009,13.25012,3.666989,3.695294,22.79823,279.6995
12.38009,13.19211,3.794893,1.034564,44.42323,286.1679
14.08013,13.24762,3.086989,4.152474,32.25404,295.6971
14.26014,13.30718,3.21427,1.366586,46.9295,287.3312
13.24011,13.30345,3.157579,6.573313,37.14775,302.4122
12.6801,13.27064,3.947721,6.629662,31.38186,274.5963
15.22016,13.36812,3.16607,2.406457,48.84575,300.8213
14.52014,13.42298,3.208749,7.594647,28.08172,294.0991
