goaltime,average,changepoint,1deg,2deg,3deg
12.30009,12.30009,3.695914,0,0,0
12.42009,12.36009,3.923562,0,0,0
12.5801,12.43343,3.20435,0,0,0
13.54012,12.7101,3.58093,0,0,0
13.84013,12.93611,3.09791,0,0,0
13.02011,12.95011,3.580805,0,0,0
12.20009,12.84296,3.585238,0,0,0
12.8201,12.84011,3.823275,0,0,0
12.6201,12.81566,3.290019,0,0,0
12.6801,12.8021,3.869026,0,0,0
12.7601,12.79829,3.105251,0,0,0
12.5401,12.77677,3.300157,0,0,0
12.4601,12.75241,3.644578,0,0,0
12.6801,12.74725,3.190577,0,0,0
12.6401,12.7401,3.793961,0,0,0
13.22011,12.7701,3.468533,0,0,0
12.6601,12.76363,3.603355,0,0,0
12.4601,12.74677,3.565698,0,0,0
12.44009,12.73063,3.583704,0,0,0
12.6001,12.7241,3.025193,0,0,0
13.32012,12.75248,3.381048,0,0,0
12.6801,12.74919,3.034677,0,0,0
