time,distance,speed,first,second,third
0.02,0.0002397299,0.01198649,-0.08676147,40.71725,-74.70392
0.04,0.0006411076,0.02006888,-0.2021484,41.87329,-74.29187
0.06,0.001086712,0.02228022,-0.3259277,43.16512,-73.84253
0.08,0.001534462,0.0223875,-0.4529114,44.47271,-73.38339
0.09999999,0.001977444,0.02214909,-0.5812378,45.76931,-72.92218
0.12,0.002146006,0.008428097,-0.4006653,46.25865,-72.20532
0.14,0.002117395,-0.001430511,-0.1125183,46.56081,-71.40701
0.16,0.00282979,0.03561974,0.1753147,45.88136,-70.61523
0.18,0.006712556,0.1941383,0.3455952,45.47606,-70.63794
0.2,0.009789467,0.1538455,0.5595693,45.43819,-70.19052
0.22,0.01163316,0.09218454,0.708406,45.63732,-68.83597
0.24,0.01228023,0.0323534,0.3478309,47.40699,-69.44623
0.26,0.01240444,0.006210804,-0.1452026,48.57965,-70.07703
0.28,0.01299822,0.02968907,-0.6348572,49.20298,-70.72058
0.3,0.01464379,0.08227825,-1.117889,49.51393,-71.37347
0.32,0.01537037,0.03632903,-1.173431,48.79173,-72.18341
0.34,0.015432,0.00308156,-1.101776,47.84147,-73.05334
0.36,0.01615763,0.03628135,-0.9891052,47.19584,-73.92673
0.38,0.01747286,0.0657618,-0.8554688,46.59491,-74.79791
0.4,0.0195843,0.1055717,-0.7311096,45.948,-75.67706
0.42,0.0220331,0.1224399,-0.844635,45.00483,-75.06683
0.4400001,0.02553451,0.1750708,-1.211243,45.22706,-75.08026
0.4600001,0.03025019,0.2357841,-1.614777,45.40005,-74.45209
0.4800001,0.03662622,0.3188014,-1.955078,45.82162,-73.6514
0.5000001,0.04415441,0.3764093,-2.315155,46.42652,-72.89719
0.52,0.05095804,0.3401816,-2.690002,47.89486,-73.91229
0.54,0.05698085,0.3011405,-2.9487,49.11913,-75.41101
0.56,0.06220853,0.2613842,-3.155975,49.8188,-77.08362
0.58,0.06650138,0.2146423,-3.334686,50.35867,-78.81812
0.6,0.06994069,0.1719654,-3.503387,50.93306,-80.56842
0.6199999,0.07290375,0.1481533,-3.416412,50.42395,-81.68732
0.6399999,0.07603765,0.1566947,-3.243073,49.3846,-82.60486
0.6599999,0.07975423,0.1858294,-3.042206,48.09003,-83.45761
0.6799999,0.08423436,0.2240062,-2.83197,46.68399,-84.28949
0.6999999,0.08954787,0.2656758,-2.619965,45.26516,-85.11353
0.7199998,0.09615612,0.3304124,-2.248108,43.5313,-85.48755
0.7399998,0.1044445,0.4144192,-1.817841,41.64364,-85.71143
0.7599998,0.1145037,0.5029619,-1.36676,39.66346,-85.88721
0.7799998,0.126266,0.5881131,-0.9102173,37.63083,-86.04791
0.7999998,0.1393751,0.6554544,-0.4512329,35.5914,-86.20337
0.8199998,0.1535331,0.7079005,0.1157215,34.03246,-85.30109
0.8399997,0.1682271,0.7346988,0.736886,33.23834,-84.01202
0.8599997,0.1831311,0.7452011,1.376376,32.83575,-82.58865
0.8799997,0.1979429,0.7405877,2.020014,32.50269,-81.12415
0.8999997,0.21245,0.7253587,2.661954,32.11251,-79.65057
0.9199997,0.2263912,0.6970584,3.038388,32.01612,-78.36584
0.9399996,0.239035,0.6321907,3.314676,32.15951,-77.14041
0.9599996,0.2509043,0.5934656,3.560832,32.62456,-75.92432
0.9799996,0.2628132,0.5954444,3.801874,33.27137,-74.70764
0.9999996,0.2748581,0.6022453,4.079555,33.62926,-73.48856
1.02,0.2857319,0.5436897,4.169327,35.02904,-74.28058
1.04,0.2949159,0.4592001,4.38142,36.02383,-74.14957
1.06,0.3034921,0.4288077,4.584775,36.30551,-72.76392
1.08,0.311594,0.405097,4.756374,36.48957,-71.14661
1.1,0.3195474,0.3976703,4.894225,36.59181,-69.65894
1.12,0.3272828,0.3867686,4.829016,36.75283,-68.63306
1.14,0.3353224,0.4019797,4.537159,36.69587,-67.57895
1.159999,0.3439629,0.4320264,4.106888,36.04679,-66.2442
1.179999,0.3538918,0.4964471,3.646244,35.2965,-65.13022
1.199999,0.3653225,0.5715311,3.203315,34.3092,-64.00247
1.219999,0.3784841,0.658083,2.76664,33.75831,-63.33075
1.239999,0.3934277,0.74718,2.367485,33.7099,-62.91479
1.259999,0.4100835,0.8327901,1.979478,33.75882,-62.51974
1.279999,0.4281765,0.9046495,1.560033,34.27612,-62.4126
1.299999,0.4473257,0.9574592,1.09756,35.19599,-62.55933
1.319999,0.466725,0.9699643,0.447024,37.31153,-62.79849
1.339999,0.4858915,0.9583235,-0.2316284,39.91964,-63.00281
1.359999,0.5039458,0.9027183,-0.8696899,42.57369,-63.27432
1.379999,0.5202935,0.8173823,-1.486969,44.42533,-63.36688
1.399999,0.5356641,0.7685304,-2.056458,45.86938,-62.98303
1.419999,0.5506098,0.7472873,-2.460236,46.70137,-61.6749
1.439999,0.565367,0.7378578,-2.797699,47.29823,-59.81165
1.459999,0.5801297,0.738138,-2.99762,47.74524,-57.6467
1.479999,0.594517,0.7193625,-3.153778,48.07141,-55.56943
1.499999,0.6088454,0.716418,-3.216431,48.29536,-53.51147
1.519999,0.6229237,0.7039189,-3.240601,49.36352,-53.09863
1.539999,0.6366482,0.6862223,-3.345673,50.89556,-53.89267
1.559999,0.6489822,0.6166995,-3.575073,52.39814,-54.4566
1.579999,0.6588113,0.4914582,-3.668701,54.9221,-55.60928
1.599999,0.6660243,0.3606498,-3.804993,57.33829,-56.80405
1.619999,0.6713985,0.2687097,-3.814697,58.84204,-58.00684
1.639999,0.6756463,0.2123892,-3.774353,59.54082,-59.23474
1.659999,0.6789145,0.1634121,-3.723907,59.93493,-60.47446
1.679999,0.6815387,0.1312077,-3.667511,60.41936,-61.71243
1.699999,0.6837126,0.108695,-3.616791,60.96418,-62.9458
1.719999,0.6859944,0.1140893,-3.020966,60.29143,-63.38715
1.739999,0.6895936,0.1799583,-2.225739,59.21997,-63.56918
1.759999,0.6961892,0.3297806,-1.362457,58.13401,-63.65985
1.779999,0.7061278,0.4969299,-0.4794312,56.94048,-63.72119
1.799999,0.7200682,0.6970227,0.4122459,55.68357,-63.77536
1.819999,0.736776,0.8353889,0.4952478,54.74921,-64.58368
1.839999,0.7530007,0.8112371,0.2801417,53.21118,-65.66739
1.859999,0.7674119,0.7205606,-0.03088379,51.47709,-66.85315
1.879999,0.7805737,0.6580889,-0.3783569,50.25616,-68.05258
1.899999,0.7928927,0.6159484,-0.7268677,49.66937,-69.2373
