time,distance,speed,first,second,third
0.02,1.168251E-05,0.004255772,-2.121216,48.11743,-84.91455
0.04,0.0001783371,0.008332729,-1.290192,48.84327,-85.45898
0.06,0.003405809,0.1613736,-0.3482361,47.75342,-85.87283
0.08,0.01001358,0.3303885,0.6159761,47.02191,-86.25452
0.09999999,0.02037764,0.5182028,1.60984,46.91265,-86.63071
0.12,0.03263426,0.6128311,1.901985,45.93813,-85.58643
0.14,0.04543531,0.6400526,1.952397,44.40794,-84.05875
0.16,0.05787718,0.6220937,1.916911,42.30947,-82.3714
0.18,0.06954479,0.5833805,1.863,39.65948,-80.6311
0.2,0.08046567,0.5460441,1.78403,36.34142,-78.87241
0.22,0.09110153,0.5317926,1.978514,32.30515,-76.95383
0.24,0.1017398,0.5319118,2.284442,27.94932,-74.98145
0.26,0.1121606,0.52104,2.627489,28.5475,-74.80402
0.28,0.122914,0.5376697,2.995505,28.93245,-73.07474
0.3,0.1343162,0.5701125,3.432039,29.09014,-70.40863
0.32,0.146553,0.6118417,3.733161,29.51457,-67.96887
0.34,0.15939,0.6418467,3.944269,30.25445,-65.95493
0.36,0.1726028,0.66064,4.068639,31.11186,-64.24127
0.38,0.1861069,0.6752074,4.1627,32.03332,-62.62863
0.4,0.1999097,0.6901383,4.216776,32.95263,-61.0755
0.42,0.2138228,0.6956577,3.876424,33.7759,-59.36298
0.4400001,0.2275879,0.6882548,3.320053,34.48804,-57.58386
0.4600001,0.241035,0.6723523,2.711149,35.12488,-55.78503
0.4800001,0.254089,0.6527007,2.127925,35.65275,-53.92642
0.5000001,0.2668484,0.6379724,1.575533,36.0105,-52.01556
0.52,0.2794613,0.630641,1.266952,36.4352,-50.40973
0.54,0.2919267,0.6232738,1.115282,36.79325,-48.97992
0.56,0.304275,0.6174147,1.062042,37.07994,-47.52982
0.58,0.3164423,0.6083608,0.9907638,37.25011,-46.11728
0.6,0.3273265,0.5442142,1.017096,37.11085,-44.50769
0.6199999,0.3357435,0.4208505,0.5685967,38.68847,-44.84708
0.6399999,0.3418984,0.3077447,-0.00397641,41.46519,-46.28101
0.6599999,0.3466386,0.2370059,-0.5690002,44.6561,-48.09598
0.6799999,0.3507088,0.2035141,-1.12384,47.88232,-50.03668
0.6999999,0.3545671,0.1929104,-1.677765,50.98108,-52.01788
0.7199998,0.3580658,0.1749396,-1.712219,53.69878,-54.00537
0.7399998,0.3609321,0.1433134,-1.556641,56.05572,-55.99408
0.7599998,0.3632067,0.1137316,-1.349152,58.20466,-57.98199
0.7799998,0.3652325,0.1012862,-1.124786,60.24138,-59.97018
0.7999998,0.3677019,0.123471,-0.8942261,61.81879,-61.95874
0.8199998,0.3712137,0.1755893,-0.1639099,62.79848,-63.95569
0.8399997,0.3767068,0.2746582,0.7579206,63.54946,-65.95486
0.8599997,0.3848325,0.4062831,1.733399,64.31689,-67.95422
0.8799997,0.3959591,0.5563319,2.724009,65.23728,-69.95367
0.8999997,0.4105676,0.7304251,3.721959,66.40414,-71.95346
0.9199997,0.427575,0.8503675,4.052255,68.00933,-73.95453
0.9399996,0.445268,0.8846521,4.133015,69.44596,-75.95587
0.9599996,0.462188,0.8459985,4.136568,70.36119,-77.9574
0.9799996,0.4779202,0.7866085,4.117152,70.59927,-79.9585
0.9999996,0.492887,0.7483423,4.109304,70.69464,-81.95581
1.02,0.5064454,0.6779194,4.07622,69.80632,-83.11035
1.04,0.51948,0.6517291,4.050194,68.59212,-83.98248
1.06,0.5325484,0.6534219,4.037849,67.25872,-84.76282
1.08,0.545702,0.6576777,4.028097,65.79947,-85.5119
1.1,0.5589283,0.6613135,4.018794,64.18452,-86.25043
1.12,0.5720476,0.655967,3.936202,62.28824,-86.76245
1.14,0.5854491,0.6700754,3.833938,60.31491,-87.19934
1.159999,0.5991058,0.6828368,3.724041,58.25723,-87.61157
1.179999,0.6131214,0.7007778,3.615594,56.09232,-88.01593
1.199999,0.6274985,0.7188559,3.502371,53.7808,-88.41687
1.219999,0.6419655,0.72335,3.122842,50.49925,-87.70056
1.239999,0.656417,0.7225752,2.641924,46.62724,-86.60413
1.259999,0.6710099,0.7296443,2.129567,42.39176,-85.38287
1.279999,0.6858939,0.7441998,1.608086,37.93234,-84.12106
1.299999,0.7008804,0.7493258,1.086556,33.22427,-82.8461
1.319999,0.7147211,0.6920338,0.8987084,27.35509,-81.09033
1.339999,0.7282025,0.6740689,0.8278952,21.05348,-79.17053
1.359999,0.7394867,0.5642116,0.6638675,22.40716,-80.29581
1.379999,0.7493212,0.4917264,0.6141942,23.48318,-79.05069
1.399999,0.7582735,0.447613,0.7496518,23.54599,-75.89725
