goaltime,average,changepoint,1deg,2deg,3deg
14.24014,14.24014,3.422912,0,0,0
16.34018,15.29016,3.761429,0,0,0
15.20016,15.26016,3.216806,0,0,0
14.48014,15.06515,3.663806,0,0,0
14.38014,14.92815,3.041345,0,0,0
14.08013,14.78681,3.223746,0,0,0
14.22014,14.70586,3.172581,0,0,0
14.02013,14.62014,3.223977,0,0,0
15.86017,14.75793,3.193735,0,0,0
14.76015,14.75815,3.524691,0,0,0
16.48019,14.9147,3.872085,0,0,0
15.68017,14.97849,3.993338,0,0,0
13.84013,14.89092,3.509322,0,0,0
16.12018,14.97873,3.101539,0,0,0
15.60017,15.02016,3.621861,0,0,0
14.34014,14.97765,3.089911,0,0,0
14.48014,14.94839,3.211405,0,0,0
14.24014,14.90904,3.68153,0,0,0
13.74012,14.84752,3.601986,0,0,0
14.46014,14.82815,3.513648,0,0,0
15.06015,14.8392,3.674231,0,0,0
14.68015,14.83197,3.83321,0,0,0
15.14016,14.84537,3.105807,0,0,0
14.54014,14.83265,3.744462,0,0,0
16.06018,14.88175,3.428809,0,0,0
15.50016,14.90554,3.703419,0,0,0
14.78015,14.90089,3.769008,0,0,0
15.76017,14.93158,3.695326,0,0,0
13.94013,14.89739,3.059367,0,0,0
15.30016,14.91082,3.122617,0,0,0
14.06013,14.88338,3.550819,0,0,0
14.80015,14.88078,3.430856,0,0,0
15.92017,14.91227,3.578698,0,0,0
14.70015,14.90603,3.313345,0,0,0
13.38012,14.86244,3.173265,0,0,0
13.60012,14.82737,3.63799,0,0,0
13.34012,14.78717,3.061188,0,0,0
14.18013,14.7712,3.90543,0,0,0
13.98013,14.75091,3.424033,0,0,0
14.12013,14.73514,3.136265,0,0,0
13.20011,14.6977,3.419868,0,0,0
14.98015,14.70443,3.107279,0,0,0
14.94015,14.70991,3.895449,0,0,0
15.28016,14.72287,3.420893,0,0,0
15.10016,14.73126,3.577355,0,0,0
13.98013,14.71493,3.015713,0,0,0
17.0402,14.7644,3.944366,0,0,0
13.12011,14.73014,3.237841,0,0,0
15.74017,14.75076,3.261591,0,0,0
15.14016,14.75854,3.96487,0,0,0
15.18016,14.76681,3.934227,0,0,0
15.30016,14.77707,3.80832,0,0,0
14.14013,14.76505,3.469561,0,0,0
