goaltime,average,changepoint,1deg,2deg,3deg
12.7801,12.7801,3.52629,0,0,0
10.80006,11.79008,3.617837,0,0,0
11.26007,11.61341,3.923532,0,0,0
11.34007,11.54507,3.596273,0,0,0
11.10006,11.45607,3.26634,0,0,0
11.30007,11.43007,3.133736,0,0,0
10.64005,11.31721,3.320282,0,0,0
11.36007,11.32257,3.796119,0,0,0
11.16007,11.30451,3.78798,0,0,0
11.20007,11.29407,3.699266,0,0,0
10.94006,11.26189,3.938171,0,0,0
11.72008,11.30007,3.824079,0,0,0
11.30007,11.30007,3.097514,0,0,0
11.28007,11.29864,3.904762,0,0,0
11.04006,11.2814,3.337933,0,0,0
11.08006,11.26882,3.709676,0,0,0
11.18007,11.2636,3.473504,0,0,0
11.36007,11.26896,3.137757,0,0,0
11.28007,11.26954,3.450283,0,0,0
11.54007,11.28307,3.909027,0,0,0
11.06006,11.27245,3.659386,0,0,0
