time,distance,speed,first,second,third
0.02,0.001822352,0.1952291,-0.7342834,30.31271,-85.44986
0.04,0.00895822,0.3567934,0.2287122,28.59797,-85.65283
0.06,0.01965034,0.534606,1.228299,26.88545,-85.83789
0.08,0.0324676,0.6408632,1.509749,24.83414,-84.83655
0.09999999,0.04548025,0.6506324,1.532348,22.99306,-83.42285
0.12,0.05760705,0.6063402,1.473807,21.40082,-81.86514
0.14,0.06955838,0.5975664,1.39369,20.07341,-80.25525
0.16,0.08140135,0.5921483,1.294942,18.89905,-78.6282
0.18,0.09263825,0.5618453,1.509116,18.39586,-76.77335
0.2,0.1028037,0.5082726,1.795239,18.48972,-76.16782
0.22,0.1128105,0.5003393,2.239885,18.92944,-74.76465
0.24,0.1237766,0.5483031,2.675503,19.14094,-71.86407
0.26,0.1360435,0.6133497,3.153157,19.59745,-68.86365
0.28,0.1496892,0.6822824,3.413516,20.95815,-67.14737
0.3,0.1640687,0.7189751,3.707489,22.20214,-65.70218
0.32,0.1789919,0.7461607,3.902271,23.03202,-64.1521
0.34,0.1942633,0.7635713,4.184334,24.68378,-63.32318
0.36,0.2096568,0.7696748,4.417422,26.14472,-62.33188
0.38,0.2246826,0.7512867,4.193813,27.68888,-61.10168
0.4,0.2381186,0.671804,3.824083,29.0794,-59.81943
0.42,0.2498766,0.5878985,3.525939,29.53636,-57.91434
0.4400001,0.2605203,0.532186,3.242637,29.60604,-55.48798
0.4600001,0.2707056,0.5092621,3.042611,29.32427,-52.71124
0.4800001,0.2804859,0.4890144,2.901516,29.71298,-51.19421
0.5000001,0.2901504,0.4832268,2.787339,30.13524,-50.18271
0.52,0.3004334,0.5141497,2.559262,30.52454,-49.11792
0.54,0.3117213,0.5643964,2.308818,31.13237,-48.26334
0.56,0.32421,0.6244361,2.055282,31.94382,-47.57236
0.58,0.3374512,0.6620586,1.922404,34.01422,-48.7756
0.6,0.3497324,0.614059,1.869302,36.4044,-51.00024
0.6199999,0.3605053,0.5386472,1.718981,37.1253,-52.50067
0.6399999,0.3694279,0.4461288,1.493972,37.50786,-54.18802
0.6599999,0.3773626,0.3967345,1.244212,38.23035,-56.28973
0.6799999,0.3849123,0.3774822,1.24933,38.48767,-58.30017
0.6999999,0.3915837,0.3335714,1.304785,38.81783,-60.31445
0.7199998,0.397558,0.2987146,1.329767,39.23355,-62.12482
0.7399998,0.4036587,0.3050387,1.431168,39.90264,-64.24915
0.7599998,0.4112297,0.3785491,1.531639,40.49116,-66.2916
0.7799998,0.4207114,0.4740834,1.796398,40.32914,-67.88364
0.7999998,0.4327586,0.6023586,2.112872,39.83781,-69.33075
0.8199998,0.4472415,0.7241488,2.443216,39.13742,-70.7308
0.8399997,0.4641432,0.8450806,2.779022,38.33523,-72.11691
0.8599997,0.4829829,0.9419858,3.115122,37.47754,-73.49866
0.8799997,0.502808,0.991255,3.415959,36.18174,-74.98233
0.8999997,0.5221635,0.9677768,3.693088,34.32227,-76.51889
0.9199997,0.5399997,0.8918107,3.977713,32.56701,-78.07108
0.9399996,0.5560755,0.8037865,4.247131,30.86871,-79.62125
0.9599996,0.5714421,0.7683337,4.516721,29.23631,-81.16699
0.9799996,0.5858291,0.7193506,4.519703,26.82859,-81.24878
0.9999996,0.6001782,0.7174551,4.437979,24.80101,-80.81805
1.02,0.6146204,0.7221103,4.329896,22.97359,-80.2092
1.04,0.6293484,0.7363975,4.213478,21.13499,-79.54572
1.06,0.6442183,0.7434964,4.090553,19.20962,-78.86829
1.08,0.6591833,0.7482469,3.923486,17.34708,-77.49707
1.1,0.6737474,0.7282078,3.731634,15.76801,-75.88031
1.12,0.6882529,0.7252753,3.537493,14.48294,-74.17569
1.14,0.7026767,0.7211864,3.342591,13.29548,-72.44278
