goaltime,average,changepoint,1deg,2deg,3deg
12.34009,12.34009,3.654166,0,0,0
12.04009,12.19009,3.624411,0,0,0
12.10009,12.16009,3.771097,0,0,0
12.5001,12.24509,3.917039,0,0,0
12.20009,12.23609,3.936554,0,0,0
12.6601,12.30676,3.734124,0,0,0
11.92008,12.25152,3.385288,0,0,0
12.6401,12.30009,3.606196,0,0,0
12.38009,12.30898,3.729824,0,0,0
12.5801,12.33609,3.621322,0,0,0
12.12009,12.31646,3.298862,0,0,0
12.14009,12.30176,3.694951,0,0,0
12.16009,12.29086,3.569374,0,0,0
12.40009,12.29867,3.782118,0,0,0
12.6601,12.32276,3.125293,0,0,0
12.16009,12.31259,3.199124,0,0,0
12.4601,12.32127,3.603708,0,0,0
11.94008,12.30009,3.491977,0,0,0
12.5401,12.31273,3.075359,0,0,0
12.7001,12.33209,3.262459,0,0,0
12.20009,12.32581,3.756726,0,0,0
