time,distance,speed,first,second,third
0.02,0.001432419,0.1176119,2.064975,26.40948,-84.61246
0.04,0.007722139,0.314486,3.013697,24.32339,-84.51154
0.06,0.01797819,0.5128026,4.004097,23.21984,-84.37201
0.08,0.03089178,0.6456792,4.407529,23.37099,-83.02594
0.09999999,0.04442191,0.6765068,4.623876,24.65944,-81.2406
0.12,0.05771005,0.664407,4.769631,26.55064,-79.30075
0.14,0.06985164,0.6070793,4.52657,27.8231,-78.60956
0.16,0.07950091,0.4824638,4.706522,28.9062,-77.58344
0.18,0.08735991,0.3929496,5.273759,28.64897,-74.93747
0.2,0.09599245,0.431627,5.696228,28.18562,-71.56503
0.22,0.1061597,0.5083621,5.752039,29.14168,-69.34756
0.24,0.1177073,0.5773783,5.931458,29.91832,-67.25195
0.26,0.1306772,0.6484985,6.13923,30.21698,-65.26398
0.28,0.1454037,0.736326,6.457049,29.9488,-64.83594
0.3,0.1621405,0.8368373,6.829985,28.85555,-64.96802
0.32,0.1807282,0.9293854,7.21192,27.48396,-65.28668
0.34,0.2009122,1.009202,7.59667,26.1626,-65.65958
0.36,0.2222903,1.068902,7.981965,24.97479,-66.04547
0.38,0.2428982,1.030397,7.628201,24.31623,-65.10394
0.4,0.2606179,0.8859813,6.739294,25.77591,-64.95355
0.42,0.276899,0.8140564,5.863514,27.10509,-64.33838
0.4400001,0.2922256,0.766331,5.16815,28.05518,-62.63873
0.4600001,0.3068577,0.7316053,4.519549,28.89581,-60.48569
0.4800001,0.3212731,0.7207692,4.040978,30.11213,-59.01004
0.5000001,0.3351575,0.6942213,3.503875,31.65931,-58.23572
0.52,0.3478174,0.6329954,2.995325,32.88275,-57.67624
0.54,0.3598465,0.6014526,2.466062,33.87883,-57.00092
0.56,0.3715684,0.5860984,1.961562,34.75832,-56.31625
0.58,0.3833983,0.5914927,1.605114,35.60366,-55.66461
0.6,0.395182,0.589186,1.301786,36.39512,-55.11533
0.6199999,0.4070246,0.5921304,0.8270947,37.82978,-54.83286
0.6399999,0.4189132,0.5944312,0.1999569,39.40927,-54.39313
0.6599999,0.4310521,0.6069422,-0.3635559,40.76966,-53.94781
