goaltime,average
10.32005,10.32005,3.965574
10.06004,10.19004,3.490834
10.56005,10.31338,3.319975
10.28005,10.30505,3.613588
10.34005,10.31205,3.555579
10.58005,10.35671,3.670926
10.30005,10.34862,3.288821
9.980039,10.30255,3.863301
10.00004,10.26893,3.164244
9.960038,10.23804,3.407825
10.52005,10.26368,3.668389
10.24004,10.26171,3.476451
10.38005,10.27081,3.107477
10.28005,10.27147,3.657993
10.38005,10.27871,3.176115
9.780034,10.24754,3.941968
9.920037,10.22828,3.572401
9.980039,10.21449,3.700542
10.16004,10.21162,3.940552
9.720033,10.18704,3.403486
10.10004,10.1829,3.546156
