distance,speed,time
0.025,0.6143586,0.08
0.05,0.6623815,0.12
0.075,0.5530317,0.16
0.1,0.5460082,0.2
0.125,0.6206344,0.26
0.15,0.6557659,0.3
0.175,0.6818607,0.34
0.2,0.701979,0.38
0.225,0.6941004,0.4
0.25,0.6552194,0.4400001
0.275,0.6353607,0.4800001
0.3,0.6336768,0.52
0.325,0.5682949,0.56
0.35,0.2346065,0.6399999
0.375,0.3239951,0.7999998
0.4,0.7401375,0.8599997
0.425,0.8571095,0.8799997
0.45,0.8609753,0.9199997
0.475,0.8392255,0.9399996
0.5,0.691507,0.9799996
0.525,0.6557783,1.02
0.55,0.6626878,1.06
0.575,0.6704854,1.1
0.6,0.7033647,1.14
0.625,0.7232318,1.159999
0.65,0.7342754,1.199999
0.675,0.7652732,1.239999
0.7,0.7778751,1.259999
0.725,0.7301546,1.299999
0.75,0.5493624,1.359999
0.775,0.4784833,1.399999
0.8,0.4718049,1.459999
0.825,0.4083432,1.519999
0.85,0.3187622,1.599999
0.875,0.3824769,1.679999
0.9,0.5056856,1.739999
0.925,0.5742487,1.779999
0.95,0.6013627,1.819999
0.975,0.6026924,1.859999
1,0.3613297,1.919999
1.025,0.3506224,1.999999
1.05,0.4302444,2.079999
1.075,0.6147886,2.119999
1.1,0.8660156,2.159999
1.125,0.9574308,2.179999
1.15,0.8276171,2.219999
1.175,0.7382814,2.239999
1.2,0.6796302,2.279999
1.225,0.6695136,2.319999
1.25,0.6971118,2.359998
1.275,0.7082362,2.399998
1.3,0.7172664,2.419998
1.325,0.7454615,2.459998
1.35,0.7548928,2.499998
1.375,0.7495375,2.539998
1.4,0.7609382,2.559998
1.425,0.5478598,2.619998
1.45,0.5409625,2.659998
1.475,0.590162,2.719998
1.5,0.6508396,2.759998
1.525,0.6033785,2.799998
1.55,0.5191343,2.839998
1.575,0.4525424,2.899998
1.6,0.5052125,2.939998
1.625,0.6182051,2.999998
1.65,0.4908504,3.039998
1.675,0.4100942,3.099998
1.7,0.3653876,3.179998
1.725,0.6998147,3.239998
1.75,0.8472785,3.259998
1.775,0.9763445,3.299998
1.8,0.9241092,3.319998
1.825,0.7849928,3.359998
1.85,0.7761757,3.379997
1.875,0.7203526,3.419997
1.9,0.622117,3.459997
1.925,0.6106424,3.499997
1.95,0.6693174,3.539997
1.975,0.727761,3.579997
2,0.7421754,3.599997
2.025,0.7693834,3.639997
