distance,speed,time
0.025,0.6590368,0.08
0.05,0.7212215,0.12
0.075,0.5007263,0.16
0.1,0.5834945,0.22
0.125,0.6898944,0.26
0.15,0.8680509,0.3
0.175,0.961664,0.32
0.2,1.045745,0.34
0.225,1.079872,0.38
0.25,0.9223075,0.4
0.275,0.8344438,0.42
0.3,0.738174,0.4600001
0.325,0.6994213,0.5000001
0.35,0.6066855,0.54
0.375,0.6026581,0.58
0.4,0.6039273,0.6199999
0.425,0.6337078,0.6599999
0.45,0.4797346,0.6999999
0.475,0.3532346,0.7799998
0.5,0.4302047,0.8399997
0.525,0.6362823,0.8799997
0.55,0.7925681,0.9199997
0.575,0.8315836,0.9599996
0.6,0.7865832,0.9799996
0.625,0.6423624,1.02
0.65,0.557335,1.06
0.675,0.5038827,1.12
0.7,0.528922,1.159999
0.725,0.5039852,1.219999
0.75,0.5336663,1.259999
0.775,0.64834,1.299999
0.8,0.8044148,1.339999
0.825,0.9259835,1.379999
0.85,0.9431624,1.399999
0.875,0.8531293,1.439999
0.9,0.7674968,1.459999
0.925,0.7092827,1.499999
0.95,0.6817719,1.539999
0.975,0.6757678,1.579999
1,0.6641561,1.619999
1.025,0.6967133,1.659999
1.05,0.7244787,1.679999
1.075,0.6306525,1.719999
1.1,0.5128546,1.779999
1.125,0.4797792,1.839999
1.15,0.6507163,1.879999
1.175,0.8319948,1.919999
1.2,0.922964,1.939999
1.225,0.8587272,1.979999
1.25,0.7311529,1.999999
1.275,0.643967,2.039999
1.3,0.5948616,2.079999
1.325,0.6062052,2.119999
1.35,0.7537503,2.159999
1.375,0.8209128,2.199999
1.4,0.7894288,2.219999
1.425,0.6830153,2.259999
1.45,0.5047526,2.299999
1.475,0.5612935,2.359998
1.5,0.6338379,2.399998
1.525,0.7387779,2.439998
1.55,0.8417777,2.479998
1.575,0.8117511,2.499998
1.6,0.6982248,2.539998
1.625,0.6226228,2.579998
1.65,0.6130892,2.619998
1.675,0.6371832,2.659998
1.7,0.6166216,2.699998
1.725,0.5938489,2.739998
1.75,0.6369324,2.779998
1.775,0.5043616,2.839998
1.8,0.5538293,2.879998
1.825,0.6531796,2.919998
1.85,0.8270545,2.959998
1.875,0.8821464,2.979998
1.9,0.7532055,3.019998
1.925,0.6641273,3.059998
1.95,0.6094625,3.099998
1.975,0.680152,3.139998
2,0.7584882,3.179998
2.025,0.7478832,3.199998
2.05,0.7270371,3.239998
2.075,0.7475391,3.279998
2.1,0.7318763,3.299998
2.125,0.6285926,3.339998
2.15,0.7165376,3.379997
2.175,0.8062704,3.419997
2.2,0.8591532,3.459997
2.225,0.8617338,3.479997
2.25,0.7582285,3.519997
2.275,0.7184069,3.539997
2.3,0.6815512,3.579997
2.325,0.6981076,3.619997
2.35,0.7488519,3.659997
2.375,0.7653773,3.679997
2.4,0.7277842,3.719997
2.425,0.6070364,3.759997
2.45,0.5963092,3.799997
2.475,0.4424156,3.859997
2.5,0.6424853,3.919997
2.525,0.8639274,3.959997
2.55,0.9450496,3.979997
2.575,0.9378569,3.999997
2.6,0.7639992,4.039997
2.625,0.7407849,4.079997
2.65,0.7521176,4.099997
2.675,0.7673506,4.139997
2.7,0.8326502,4.179997
2.725,0.8560296,4.199997
2.75,0.8694094,4.219997
2.775,0.8845266,4.259997
2.8,0.8867928,4.279997
2.825,0.7777382,4.319997
2.85,0.6060537,4.359997
2.875,0.6297879,4.399997
2.9,0.7198766,4.439997
2.925,0.8557199,4.479997
2.95,0.941163,4.499997
2.975,1.022735,4.519997
3,1.083355,4.559997
3.025,0.9868269,4.579997
3.05,0.8636655,4.599997
3.075,0.7819683,4.639997
3.1,0.7622518,4.659997
3.125,0.7368407,4.699996
3.15,0.7483493,4.739996
3.175,0.7721221,4.759996
3.2,0.5849599,4.799996
3.225,0.4649785,4.859996
3.25,0.3846185,4.919996
3.275,0.724235,4.979996
3.3,0.7860154,4.999996
3.325,0.7756333,5.039996
3.35,0.6447833,5.079996
3.375,0.6286452,5.119996
3.4,0.661764,5.159996
3.425,0.660312,5.199996
3.45,0.658048,5.219996
3.475,0.6800076,5.259996
3.5,0.7346277,5.299996
3.525,0.6588159,5.339996
3.55,0.5718068,5.399996
3.575,0.6560919,5.439996
3.6,0.7997348,5.479996
3.625,0.9818786,5.519996
3.65,1.067533,5.539996
3.675,1.144369,5.559996
3.7,1.119841,5.579996
3.725,1.018359,5.599996
3.75,0.9453404,5.639996
3.775,0.9339137,5.659996
3.8,0.9391557,5.679996
3.825,0.8817959,5.719995
3.85,0.8692091,5.739995
3.875,0.8903574,5.779995
3.9,0.8591534,5.799995
3.925,0.6979732,5.839995
3.95,0.6431191,5.879995
3.975,0.5895553,5.919995
4,0.5469272,5.959995
4.025,0.5467592,6.019995
4.05,0.7895907,6.059995
4.075,0.9032784,6.079995
4.1,0.9696883,6.119995
4.125,0.917881,6.139995
4.15,0.8329279,6.159995
4.175,0.7181305,6.199995
4.2,0.668677,6.239995
4.225,0.6236235,6.279995
4.25,0.6504068,6.319995
4.275,0.7330159,6.359995
4.3,0.7733452,6.379995
4.325,0.7498611,6.419995
4.35,0.4837373,6.459995
4.375,0.5842212,6.519995
4.4,0.7146891,6.559995
4.425,0.893739,6.599995
4.45,0.9495218,6.619995
4.475,0.972303,6.639995
4.5,0.8775755,6.679995
4.525,0.8200808,6.699995
4.55,0.7924728,6.739995
4.575,0.7865081,6.759995
4.6,0.7634282,6.799994
4.625,0.7376342,6.839994
4.65,0.7139786,6.859994
4.675,0.5208447,6.919994
4.7,0.5126505,6.959994
4.725,0.5841426,7.019994
4.75,0.8263804,7.059994
4.775,0.9442647,7.079994
4.8,1.000593,7.099994
4.825,0.9760221,7.139994
4.85,0.8922884,7.159994
4.875,0.7672805,7.199994
4.9,0.7595133,7.219994
4.925,0.779639,7.259994
4.95,0.7515359,7.299994
4.975,0.7155421,7.319994
5,0.4239849,7.379994
5.025,0.550335,7.439994
5.05,0.6749804,7.479994
5.075,0.7766081,7.519994
5.1,0.8455836,7.559994
5.125,0.8082671,7.579994
5.15,0.7074888,7.619994
5.175,0.630304,7.659994
5.2,0.5693044,7.699994
5.225,0.5630767,7.739994
5.25,0.6015514,7.779994
5.275,0.5326096,7.819993
5.3,0.4701343,7.879993
5.325,0.4514489,7.939993
5.35,0.6333932,7.979993
5.375,0.7344981,8.019994
5.4,0.7284728,8.059995
5.425,0.6622368,8.099996
5.45,0.6506204,8.139997
5.475,0.6709231,8.179997
5.5,0.6786921,8.199998
5.525,0.7079503,8.239999
5.55,0.7574946,8.28
5.575,0.6009309,8.320001
5.6,0.6557407,8.360002
5.625,0.734924,8.400002
5.65,0.8147303,8.440003
5.675,0.8517537,8.460004
5.7,0.7992105,8.500005
5.725,0.7384273,8.520005
5.75,0.6717516,8.560006
5.775,0.632359,8.600007
5.8,0.6756533,8.640008
5.825,0.7296476,8.680009
5.85,0.6787378,8.72001
5.875,0.5590079,8.760011
5.9,0.5296364,8.800012
5.925,0.5086228,8.860013
5.95,0.619284,8.900014
5.975,0.8255455,8.940015
6,0.9166446,8.960015
6.025,0.9904649,9.000016
6.05,0.8996563,9.020017
6.075,0.7605162,9.060018
6.1,0.7381607,9.080018
6.125,0.7172954,9.120019
6.15,0.7613255,9.16002
6.175,0.8133726,9.200021
6.2,0.8266466,9.220021
6.225,0.8503264,9.260022
6.25,0.8536943,9.280023
6.275,0.6194216,9.320024
6.3,0.616598,9.360024
6.325,0.6341925,9.400025
6.35,0.7508357,9.440026
6.375,0.9591076,9.480027
6.4,1.014862,9.500028
6.425,1.009777,9.520028
6.45,0.8544104,9.560029
6.475,0.7871472,9.580029
6.5,0.7733072,9.62003
6.525,0.8000111,9.640031
6.55,0.7577933,9.680032
6.575,0.7003372,9.720033
6.6,0.5837511,9.760034
6.625,0.5059258,9.800035
6.65,0.4800996,9.860036
6.675,0.5609515,9.900037
6.7,0.7901292,9.940038
6.725,0.9814095,9.980039
6.75,0.9884564,10.00004
6.775,0.9252441,10.02004
6.8,0.747556,10.06004
6.825,0.6900251,10.10004
6.85,0.7081463,10.12004
6.875,0.7855084,10.16004
6.9,0.8585256,10.20004
6.925,0.8756938,10.22004
6.95,0.8913172,10.26005
6.975,0.8863071,10.28005
7,0.7116243,10.32005
