distance,speed,time
0.025,0.5509101,0.08
0.05,0.5384477,0.14
0.075,0.4605402,0.2
0.1,0.611105,0.24
0.125,0.7234401,0.28
0.15,0.8241394,0.32
0.175,0.8530499,0.36
0.2,0.8037261,0.38
0.225,0.6384106,0.42
0.25,0.5372205,0.4600001
0.275,0.4857584,0.5000001
0.3,0.5330766,0.56
0.325,0.4407003,0.6199999
0.35,0.2833962,0.6999999
0.375,0.3592823,0.7999998
0.4,0.5879534,0.8399997
0.425,0.8627457,0.8799997
0.45,0.8963185,0.8999997
0.475,0.7339972,0.9399996
0.5,0.7437769,0.9799996
0.525,0.6883633,0.9999996
0.55,0.6656286,1.04
0.575,0.6847047,1.08
0.6,0.7602088,1.12
0.625,0.8291771,1.159999
0.65,0.7728371,1.179999
0.675,0.6705604,1.219999
0.7,0.4054624,1.279999
0.725,0.4845532,1.339999
0.75,0.6857652,1.399999
0.775,0.7394405,1.419999
0.8,0.7820957,1.459999
0.825,0.6553822,1.499999
0.85,0.5038702,1.539999
0.875,0.41596,1.599999
0.9,0.3777067,1.659999
0.925,0.2255772,1.779999
0.95,0.4545827,1.979999
0.975,0.610042,2.019999
1,0.4953642,2.079999
1.025,0.5090703,2.119999
1.05,0.5234764,2.179999
1.075,0.6300536,2.219999
1.1,0.7388112,2.259999
1.125,0.5361001,2.299999
1.15,0.5000825,2.359998
1.175,0.5566997,2.419998
1.2,0.6214862,2.459998
1.225,0.5962769,2.499998
1.25,0.3674794,2.559998
1.275,0.2695559,2.639998
1.3,0.3863954,2.719998
1.325,0.3451548,2.799998
1.35,0.2819807,2.879998
1.375,0.5051425,2.959998
1.4,0.6274411,2.999998
1.425,0.5913736,3.039998
1.45,0.5177474,3.079998
1.475,0.5165932,3.139998
1.5,0.5099371,3.179998
1.525,0.726925,3.239998
1.55,0.7901429,3.259998
1.575,0.6801887,3.299998
1.6,0.632831,3.339998
1.625,0.5832595,3.379997
1.65,0.6598864,3.439997
1.675,0.7258431,3.479997
1.7,0.7089352,3.499997
1.725,0.6056842,3.539997
1.75,0.5222955,3.599997
1.775,0.5376641,3.639997
1.8,0.5697663,3.679997
1.825,0.4526597,3.739997
1.85,0.3948456,3.799997
1.875,0.5192932,3.859997
1.9,0.7213413,3.899997
1.925,0.8710052,3.939997
1.95,0.9219317,3.959997
1.975,0.7413678,3.999997
2,0.7081251,4.039997
2.025,0.72396,4.059997
2.05,0.6454191,4.099997
2.075,0.6927225,4.139997
2.1,0.7265012,4.179997
2.125,0.6299372,4.219997
2.15,0.3646492,4.279997
2.175,0.4447615,4.359997
2.2,0.5498872,4.419997
2.225,0.6469153,4.459997
